ticker,Date,SplitRatio
HD,1991-06-26 00:00:00-04:00,1.5
HD,1992-07-02 00:00:00-04:00,1.5
HD,1993-04-14 00:00:00-04:00,1.3333333333333333
HD,1997-07-07 00:00:00-04:00,1.5
HD,1998-07-06 00:00:00-04:00,2.0
HD,1999-12-31 00:00:00-05:00,1.5
HDFCBANK.NS,2011-07-14 00:00:00+05:30,5.0
HDFCBANK.NS,2019-09-19 00:00:00+05:30,2.0
HEAL.JK,2021-07-30 00:00:00+07:00,5.0
HON,1965-02-04 00:00:00-05:00,1.02
HON,1966-02-03 00:00:00-05:00,1.02
HON,1967-02-03 00:00:00-05:00,1.02
HON,1984-05-30 00:00:00-04:00,1.5
HON,1994-03-15 00:00:00-05:00,2.0
HON,1997-09-16 00:00:00-04:00,2.0
HON,2016-10-03 00:00:00-04:00,1.0053282396702523
HON,2018-10-01 00:00:00-04:00,1.011
HON,2018-10-29 00:00:00-04:00,1.032
HPE,2017-04-03 00:00:00-04:00,1.3348
HPE,2017-09-01 00:00:00-04:00,1.289
HPQ,1970-03-20 00:00:00-05:00,2.0
HPQ,1979-07-31 00:00:00-04:00,2.0
HPQ,1981-07-20 00:00:00-04:00,2.0
HPQ,1983-08-26 00:00:00-04:00,2.0
HPQ,1995-04-17 00:00:00-04:00,2.0
HPQ,1996-07-16 00:00:00-04:00,2.0
HPQ,2000-10-30 00:00:00-05:00,2.0
HPQ,2015-11-02 00:00:00-05:00,2.202
HTHT,2018-05-25 00:00:00-04:00,4.0
HYMB,2023-01-12 00:00:00-05:00,2.0
IBM,1964-05-18 00:00:00-04:00,1.25
IBM,1966-05-18 00:00:00-04:00,1.5
IBM,1968-04-23 00:00:00-05:00,2.0
IBM,1973-05-29 00:00:00-04:00,1.25
IBM,1979-06-01 00:00:00-04:00,4.0
IBM,1997-05-28 00:00:00-04:00,2.0
IBM,1999-05-27 00:00:00-04:00,2.0
IBM,2021-11-04 00:00:00-04:00,1.046
ICICIBANK.BO,2014-12-04 00:00:00+05:30,4.545454545454545
ICICIBANK.BO,2017-06-20 00:00:00+05:30,1.1
IEX.NS,2018-10-19 00:00:00+05:30,10.0
IEX.NS,2021-12-03 00:00:00+05:30,3.0
IGSB,2018-08-08 00:00:00-04:00,2.0
INFY.NS,1997-08-19 00:00:00+05:30,2.0
INFY.NS,1999-02-10 00:00:00+05:30,2.0
INFY.NS,2000-01-24 00:00:00+05:30,2.0
INFY.NS,2000-01-27 00:00:00+05:30,2.0
INFY.NS,2004-07-01 00:00:00+05:30,4.0
INFY.NS,2006-07-13 00:00:00+05:30,2.0
INFY.NS,2014-12-02 00:00:00+05:30,2.0
INFY.NS,2015-06-15 00:00:00+05:30,2.0
INFY.NS,2018-09-04 00:00:00+05:30,2.0
INTC,1980-10-09 00:00:00-04:00,2.0
INTC,1983-07-01 00:00:00-04:00,2.0
INTC,1987-10-29 00:00:00-05:00,1.5
INTC,1993-06-07 00:00:00-04:00,2.0
INTC,1995-06-19 00:00:00-04:00,2.0
